user,version,portal,pages
1,0,1,3
2,0,1,2
3,0,1,3
4,1,1,3
5,0,1,2
6,0,0,1
7,1,0,2
8,0,0,4
9,0,0,3
10,0,1,4
11,1,0,5
12,0,1,7
13,0,0,1
14,1,0,1
15,0,1,2
16,0,1,5
17,0,1,7
18,0,0,3
19,0,0,2
20,0,1,4
21,1,1,2
22,1,0,1
23,1,0,1
24,1,0,6
25,0,0,2
26,1,1,2
27,1,1,3
28,0,0,4
29,1,0,2
30,1,1,1
31,1,0,2
32,1,0,1
33,1,0,2
34,0,1,2
35,0,0,1
36,0,1,3
37,0,0,4
38,0,0,2
39,0,0,3
40,1,1,5
41,1,0,6
42,1,0,1
43,0,1,3
44,1,0,2
45,0,0,5
46,1,0,3
47,1,1,2
48,0,1,2
49,0,1,3
50,0,1,5
51,0,0,1
52,1,1,1
53,1,0,2
54,1,0,4
55,0,0,4
56,0,0,3
57,1,0,2
58,0,0,1
59,1,0,2
60,1,0,8
61,0,0,1
62,1,0,1
63,1,1,3
64,0,0,1
65,0,1,5
66,1,1,3
67,0,0,3
68,0,1,2
69,0,1,2
70,1,1,1
71,0,0,1
72,0,0,1
73,0,1,4
74,1,1,2
75,0,0,2
76,0,0,6
77,1,0,3
78,0,1,3
79,1,0,1
80,0,0,1
81,0,1,3
82,1,0,3
83,1,0,1
84,1,0,2
85,1,1,2
86,1,1,5
87,1,1,4
88,0,1,3
89,0,0,1
90,1,0,1
91,1,1,1
92,0,0,1
93,1,1,3
94,0,0,3
95,1,1,1
96,1,1,2
97,0,1,3
98,0,0,2
99,0,1,6
100,0,1,2
101,0,1,3
102,1,1,2
103,0,1,3
104,0,0,6
105,1,0,2
106,1,0,1
107,0,1,4
108,0,0,3
109,1,1,2
110,0,0,1
111,1,0,2
112,1,0,2
113,1,0,2
114,0,0,2
115,1,1,2
116,1,1,2
117,0,1,5
118,1,0,3
119,0,0,2
120,1,1,2
121,1,1,1
122,0,1,6
123,1,1,5
124,0,0,3
125,1,1,2
126,0,0,2
127,1,0,3
128,1,0,2
129,1,0,1
130,1,0,2
131,1,0,1
132,1,0,3
133,1,0,3
134,0,1,3
135,0,0,1
136,0,0,2
137,0,1,3
138,0,0,1
139,0,1,5
140,0,1,3
141,0,1,6
142,1,1,2
143,1,0,8
144,0,0,1
145,0,0,1
146,0,0,2
147,0,0,6
148,1,1,2
149,0,1,2
150,0,1,2
151,0,1,6
152,1,1,3
153,0,1,3
154,0,0,2
155,1,0,1
156,0,1,4
157,1,1,4
158,0,1,5
159,1,0,1
160,1,1,2
161,1,1,2
162,1,1,1
163,1,0,4
164,0,1,3
165,0,1,3
166,1,1,1
167,0,0,1
168,1,1,5
169,1,1,3
170,0,1,3
171,1,1,2
172,0,0,1
173,1,1,3
174,1,1,1
175,1,0,2
176,1,1,3
177,1,0,2
178,0,0,1
179,1,1,3
180,1,0,4
181,0,1,1
182,1,1,2
183,1,0,2
184,1,0,2
185,0,0,2
186,0,1,2
187,1,0,3
188,1,0,2
189,1,1,8
190,1,0,5
191,0,1,3
192,0,1,3
193,0,0,1
194,1,1,3
195,1,0,2
196,1,1,1
197,1,1,2
198,1,0,2
199,1,0,2
200,0,1,3
201,1,0,8
202,1,0,2
203,0,0,1
204,1,0,3
205,0,1,4
206,1,0,2
207,0,0,2
208,1,0,3
209,0,1,2
210,0,0,1
211,0,0,3
212,1,0,5
213,0,1,4
214,0,0,3
215,0,1,3
216,1,1,2
217,0,0,1
218,1,0,3
219,1,0,2
220,1,0,1
221,1,1,2
222,0,0,1
223,0,0,1
224,0,1,3
225,1,1,2
226,0,1,1
227,0,0,4
228,1,1,2
229,1,0,2
230,0,0,2
231,1,0,1
232,0,1,2
233,0,1,4
234,0,0,3
235,0,1,3
236,1,1,2
237,0,0,1
238,1,0,2
239,0,0,1
240,0,1,2
241,1,1,2
242,0,1,6
243,0,0,2
244,0,0,2
245,0,0,5
246,0,0,1
